Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-1.85,-5.13,-3.92,3.28,-3.92,1.72
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-2.57,-5.85,-3.36,3.28,-3.36,1.84
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-2.36,-5.64,-4.64,3.28,-4.64,1.92
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-2.57,-5.85,-3.53,3.28,-3.53,2.0
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-2.58,-5.86,-3.64,3.28,-3.64,2.03
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-5.06,-8.34,-2.01,3.28,-2.01,2.39
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-3.32,-6.6,-3.2,3.28,-3.2,2.41
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-2.66,-5.95,-3.78,3.28,-3.78,2.49
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-3.31,-6.59,-4.69,3.28,-4.69,2.5
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-3.18,-6.46,-4.13,3.28,-4.13,2.57
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-4.01,-7.29,-4.05,3.28,-4.05,2.61
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-3.62,-6.9,-3.6,3.28,-3.6,2.64
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-3.97,-7.26,-3.93,3.28,-3.93,2.67
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-1.92,-5.2,-3.57,3.28,-3.57,2.84
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-2.62,-5.9,-4.44,3.28,-4.44,2.93
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-2.55,-5.83,-3.07,3.28,-3.07,3.28
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-4.15,-7.43,-3.16,3.28,-3.16,3.31
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-3.47,-6.75,-4.0,3.28,-4.0,3.35
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-2.19,-5.47,-3.96,3.28,-3.96,3.55
macro_3css_com_ligante_6pg_ligante_3css_com_ligante_6pg,-5.17,-8.45,-1.17,3.28,-1.17,3.94
