Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.52,-8.1,-0.4,3.58,-0.4,1.18
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-6.65,-10.23,1.03,3.58,1.03,1.19
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.39,-7.97,-1.94,3.58,-1.94,1.39
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.17,-8.74,-1.01,3.58,-1.01,1.39
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.07,-8.65,-1.48,3.58,-1.48,1.4
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.82,-9.4,0.57,3.58,0.57,1.43
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.73,-9.31,-0.88,3.58,-0.88,1.45
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.37,-8.95,0.31,3.58,0.31,1.47
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.05,-7.63,-1.04,3.58,-1.04,1.54
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.65,-8.23,-0.6,3.58,-0.6,1.6
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.49,-7.07,-0.94,3.58,-0.94,1.61
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.46,-9.04,-1.44,3.58,-1.44,1.62
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.85,-7.43,-1.57,3.58,-1.57,1.63
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.33,-8.91,-1.42,3.58,-1.42,1.63
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.98,-7.56,-2.32,3.58,-2.32,1.64
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.82,-9.4,0.34,3.58,0.34,1.64
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.09,-7.67,-1.63,3.58,-1.63,1.67
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.81,-8.39,-0.09,3.58,-0.09,1.68
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.24,-6.82,-2.22,3.58,-2.22,1.69
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-2.8,-6.38,-2.41,3.58,-2.41,1.7
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.54,-7.12,-1.87,3.58,-1.87,1.71
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.32,-8.9,0.13,3.58,0.13,1.71
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.8,-7.38,-1.3,3.58,-1.3,1.72
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.91,-8.49,-0.88,3.58,-0.88,1.72
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.5,-7.07,-1.81,3.58,-1.81,1.79
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.6,-7.18,-2.14,3.58,-2.14,1.79
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-5.35,-8.93,-0.95,3.58,-0.95,1.79
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.27,-7.85,-1.13,3.58,-1.13,1.81
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-3.59,-7.17,-1.37,3.58,-1.37,1.82
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.6,-8.18,-2.43,3.58,-2.43,1.82
macro_4kpc_com_ligante_pps_ligante_4kpc_com_ligante_pps,-4.07,-7.65,-1.27,3.58,-1.27,1.84
