Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.86,-6.16,-0.85,0.3,-0.85,0.47
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.78,-6.07,-0.96,0.3,-0.96,0.5
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.76,-6.06,-1.05,0.3,-1.05,0.51
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.76,-6.06,-0.99,0.3,-0.99,0.52
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.77,-6.07,-1.04,0.3,-1.04,0.54
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.79,-6.09,-1.03,0.3,-1.03,0.54
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.79,-6.08,-0.96,0.3,-0.96,0.55
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.72,-6.02,-1.08,0.3,-1.08,0.56
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.73,-6.03,-1.07,0.3,-1.07,0.58
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.83,-6.13,-0.97,0.3,-0.97,0.58
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.73,-6.03,-1.04,0.3,-1.04,0.58
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.7,-6.0,-1.03,0.3,-1.03,0.6
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.9,-6.2,-0.85,0.3,-0.85,0.63
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.85,-6.15,-0.82,0.3,-0.82,0.65
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.81,-6.11,-0.88,0.3,-0.88,0.65
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.62,-5.92,-1.07,0.3,-1.07,0.7
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.77,-6.06,-0.87,0.3,-0.87,0.88
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.57,-5.87,-0.97,0.3,-0.97,1.07
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.76,-6.06,-1.1,0.3,-1.1,2.21
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.74,-6.03,-1.09,0.3,-1.09,2.24
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.81,-6.11,-1.1,0.3,-1.1,2.25
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.82,-6.11,-1.1,0.3,-1.1,2.25
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.78,-6.07,-1.11,0.3,-1.11,2.26
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.85,-6.14,-1.11,0.3,-1.11,2.27
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.6,-5.9,-1.16,0.3,-1.16,2.3
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.87,-6.16,-1.1,0.3,-1.1,2.31
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.85,-6.15,-1.1,0.3,-1.1,2.34
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.87,-6.17,-1.11,0.3,-1.11,2.35
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.86,-6.16,-1.11,0.3,-1.11,2.36
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.89,-6.18,-1.1,0.3,-1.1,2.36
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.83,-6.13,-1.11,0.3,-1.11,2.37
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.89,-6.19,-1.11,0.3,-1.11,2.38
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.89,-6.19,-1.11,0.3,-1.11,2.4
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.9,-6.2,-1.11,0.3,-1.11,2.4
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.88,-6.18,-1.12,0.3,-1.12,2.4
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.9,-6.2,-1.11,0.3,-1.11,2.41
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.9,-6.2,-1.12,0.3,-1.12,2.41
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.87,-6.17,-1.11,0.3,-1.11,2.42
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.77,-6.07,-1.23,0.3,-1.23,2.43
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.87,-6.17,-1.11,0.3,-1.11,2.43
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.39,-5.69,-1.08,0.3,-1.08,2.44
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.8,-6.1,-1.24,0.3,-1.24,2.46
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.89,-6.19,-1.11,0.3,-1.11,2.47
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.91,-6.21,-1.12,0.3,-1.12,2.47
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.91,-6.21,-1.12,0.3,-1.12,2.49
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.9,-6.2,-1.12,0.3,-1.12,2.49
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.79,-6.09,-1.25,0.3,-1.25,2.5
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.87,-6.17,-1.12,0.3,-1.12,2.53
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.77,-6.06,-1.26,0.3,-1.26,2.57
macro_modelada_4wzh_com_ligante_do_3mjy_ligante_modelada_4wzh_com_ligante_do_3mjy,-5.78,-6.08,-1.28,0.3,-1.28,2.62
