Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
5tsq_macro_5tsq_ligante,-5.93,-6.82,-1.41,0.89,-1.41,0.78
5tsq_macro_5tsq_ligante,-5.87,-6.77,-1.28,0.89,-1.28,0.78
5tsq_macro_5tsq_ligante,-5.85,-6.75,-1.45,0.89,-1.45,0.79
5tsq_macro_5tsq_ligante,-5.87,-6.76,-1.42,0.89,-1.42,0.8
5tsq_macro_5tsq_ligante,-5.95,-6.84,-1.38,0.89,-1.38,0.81
5tsq_macro_5tsq_ligante,-5.71,-6.6,-1.36,0.89,-1.36,0.83
5tsq_macro_5tsq_ligante,-5.13,-6.02,-1.66,0.89,-1.66,2.57
5tsq_macro_5tsq_ligante,-5.38,-6.27,-1.44,0.89,-1.44,2.62
5tsq_macro_5tsq_ligante,-4.63,-5.53,-1.89,0.89,-1.89,2.73
5tsq_macro_5tsq_ligante,-5.25,-6.15,-1.44,0.89,-1.44,2.89
5tsq_macro__5tsq_ligante_,-5.74,-7.23,-2.31,1.49,-2.31,1.3
5tsq_macro__5tsq_ligante_,-4.27,-5.76,-3.07,1.49,-3.07,1.65
5tsq_macro__5tsq_ligante_,-5.26,-6.75,-2.46,1.49,-2.46,0.91
5tsq_macro__5tsq_ligante_,-4.5,-5.99,-2.24,1.49,-2.24,1.47
5tsq_macro__5tsq_ligante_,-5.15,-6.64,-2.65,1.49,-2.65,1.26
5tsq_macro__5tsq_ligante_,-3.95,-5.44,-2.8,1.49,-2.8,1.62
5tsq_macro__5tsq_ligante_,-4.08,-5.57,-3.23,1.49,-3.23,1.66
5tsq_macro__5tsq_ligante_,-3.86,-5.35,-2.63,1.49,-2.63,1.55
5tsq_macro__5tsq_ligante_,-4.53,-6.02,-2.91,1.49,-2.91,1.63
5tsq_macro__5tsq_ligante_,-4.2,-5.69,-3.25,1.49,-3.25,1.85
