Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-2.76,-5.44,-3.19,2.68,-3.19,1.97
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-2.93,-5.62,-2.76,2.68,-2.76,2.13
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-3.74,-6.42,-2.16,2.68,-2.16,2.31
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-2.41,-5.1,-3.23,2.68,-3.23,2.38
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-2.66,-5.35,-3.25,2.68,-3.25,2.42
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-4.46,-7.14,-2.73,2.68,-2.73,2.46
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-4.22,-6.91,-2.39,2.68,-2.39,2.47
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-3.82,-6.51,-3.23,2.68,-3.23,2.49
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-3.72,-6.41,-3.01,2.68,-3.01,2.5
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-3.01,-5.7,-3.45,2.68,-3.45,2.51
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-3.1,-5.78,-2.88,2.68,-2.88,2.52
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-4.5,-7.18,-2.95,2.68,-2.95,2.55
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-4.25,-6.93,-2.16,2.68,-2.16,2.55
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-3.39,-6.07,-2.47,2.68,-2.47,2.57
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-4.12,-6.8,-2.77,2.68,-2.77,2.6
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-3.12,-5.81,-2.37,2.68,-2.37,2.61
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-4.24,-6.92,-2.45,2.68,-2.45,2.61
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-4.01,-6.69,-1.98,2.68,-1.98,2.62
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-3.95,-6.63,-2.72,2.68,-2.72,2.62
macro_tratado_6edi_com_4uz_ligante_tratado_6edi_com_4uz,-3.41,-6.09,-2.67,2.68,-2.67,2.63
