Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
6gp8_macro_apc,-4.94,-7.03,-2.71,2.09,-2.71,1.6
6gp8_macro_apc,-5.22,-7.3,-2.45,2.09,-2.45,1.7
6gp8_macro_apc,-3.77,-5.86,-3.7,2.09,-3.7,1.93
6gp8_macro_apc,-4.41,-6.5,-3.66,2.09,-3.66,1.99
6gp8_macro_apc,-4.22,-6.31,-2.59,2.09,-2.59,2.04
6gp8_macro_apc,-5.09,-7.18,-2.33,2.09,-2.33,2.05
6gp8_macro_apc,-4.92,-7.01,-3.11,2.09,-3.11,2.23
6gp8_macro_apc,-4.9,-6.99,-2.84,2.09,-2.84,2.29
6gp8_macro_apc,-3.94,-6.03,-3.33,2.09,-3.33,2.3
6gp8_macro_apc,-4.91,-7.0,-2.43,2.09,-2.43,2.35
6gp8_macro_apc,-3.94,-6.02,-3.22,2.09,-3.22,2.4
6gp8_macro_apc,-3.63,-5.72,-3.75,2.09,-3.75,2.41
6gp8_macro_apc,-5.09,-7.18,-3.04,2.09,-3.04,2.43
6gp8_macro_apc,-5.05,-7.14,-2.93,2.09,-2.93,2.44
6gp8_macro_apc,-3.31,-5.4,-3.45,2.09,-3.45,2.46
6gp8_macro_apc,-4.6,-6.69,-2.97,2.09,-2.97,2.47
6gp8_macro_apc,-3.1,-5.19,-3.44,2.09,-3.44,2.48
6gp8_macro_apc,-2.87,-4.95,-3.49,2.09,-3.49,2.55
6gp8_macro_apc,-4.93,-7.01,-3.64,2.09,-3.64,2.57
6gp8_macro_apc,-4.31,-6.4,-3.5,2.09,-3.5,2.57
6gp8_macro_apc,-3.86,-5.95,-3.53,2.09,-3.53,2.63
6gp8_macro_apc,-3.63,-5.72,-2.83,2.09,-2.83,2.69
6gp8_macro_apc,-3.12,-5.21,-3.3,2.09,-3.3,2.69
6gp8_macro_apc,-3.42,-5.51,-2.02,2.09,-2.02,2.76
6gp8_macro_apc,-2.02,-4.11,-4.69,2.09,-4.69,2.77
6gp8_macro_apc,-4.79,-6.88,-3.69,2.09,-3.69,3.0
6gp8_macro_apc,-3.13,-5.22,-3.63,2.09,-3.63,3.08
6gp8_macro_apc,-4.07,-6.16,-2.54,2.09,-2.54,3.14
6gp8_macro_apc,-4.0,-6.09,-3.51,2.09,-3.51,3.14
6gp8_macro_apc,-4.35,-6.44,-3.55,2.09,-3.55,3.16
6gp8_macro_apc,-1.72,-3.81,-4.72,2.09,-4.72,3.37
6gp8_macro_apc,-3.54,-5.62,-3.72,2.09,-3.72,3.38
6gp8_macro_apc,-2.03,-4.12,-4.85,2.09,-4.85,3.84
6gp8_macro_apc,-3.78,-5.87,-3.72,2.09,-3.72,3.87
6gp8_macro_apc,-3.55,-5.64,-3.0,2.09,-3.0,4.06
6gp8_macro_apc,-2.56,-4.65,-4.29,2.09,-4.29,4.17
6gp8_macro_apc,-3.63,-5.71,-2.34,2.09,-2.34,4.24
6gp8_macro_apc,-3.49,-5.58,-3.23,2.09,-3.23,4.28
6gp8_macro_apc,-4.36,-6.44,-3.66,2.09,-3.66,4.39
6gp8_macro_apc,-3.25,-5.33,-3.44,2.09,-3.44,4.42
6gp8_macro_apc,-3.67,-5.76,-3.99,2.09,-3.99,4.43
6gp8_macro_apc,-3.38,-5.47,-2.92,2.09,-2.92,4.49
6gp8_macro_apc,-2.87,-4.96,-3.74,2.09,-3.74,4.52
6gp8_macro_apc,-3.98,-6.07,-3.19,2.09,-3.19,4.52
6gp8_macro_apc,-4.18,-6.27,-3.16,2.09,-3.16,4.58
6gp8_macro_apc,-4.85,-6.94,-3.19,2.09,-3.19,4.61
6gp8_macro_apc,-4.47,-6.56,-2.11,2.09,-2.11,4.62
6gp8_macro_apc,-3.9,-5.99,-3.04,2.09,-3.04,4.63
6gp8_macro_apc,-4.23,-6.32,-3.23,2.09,-3.23,4.67
6gp8_macro_apc,-4.07,-6.15,-3.45,2.09,-3.45,4.69
6gp8_macro_apc,-5.31,-7.39,-2.77,2.09,-2.77,4.73
6gp8_macro_apc,-4.87,-6.96,-2.95,2.09,-2.95,4.73
6gp8_macro_apc,-2.43,-4.52,-3.76,2.09,-3.76,4.76
6gp8_macro_apc,-5.86,-7.95,-2.43,2.09,-2.43,4.8
6gp8_macro_apc,-5.25,-7.34,-2.65,2.09,-2.65,4.8
6gp8_macro_apc,-4.31,-6.4,-2.91,2.09,-2.91,4.8
6gp8_macro_apc,-3.41,-5.5,-3.25,2.09,-3.25,4.81
6gp8_macro_apc,-5.18,-7.27,-2.32,2.09,-2.32,4.81
6gp8_macro_apc,-4.12,-6.21,-2.14,2.09,-2.14,4.82
6gp8_macro_apc,-2.92,-5.01,-3.02,2.09,-3.02,4.84
6gp8_macro_apc,-5.32,-7.41,-1.64,2.09,-1.64,4.87
6gp8_macro_apc,-3.86,-5.95,-3.03,2.09,-3.03,4.87
6gp8_macro_apc,-3.67,-5.76,-3.69,2.09,-3.69,4.88
6gp8_macro_apc,-4.68,-6.77,-3.36,2.09,-3.36,4.92
6gp8_macro_apc,-4.79,-6.87,-2.93,2.09,-2.93,4.92
6gp8_macro_apc,-5.17,-7.26,-2.61,2.09,-2.61,4.92
6gp8_macro_apc,-4.33,-6.42,-3.48,2.09,-3.48,4.93
6gp8_macro_apc,-3.78,-5.87,-3.12,2.09,-3.12,4.95
6gp8_macro_apc,-4.38,-6.47,-1.92,2.09,-1.92,4.96
6gp8_macro_apc,-3.78,-5.86,-3.14,2.09,-3.14,4.99
6gp8_macro_apc,-2.97,-5.06,-3.07,2.09,-3.07,5.02
6gp8_macro_apc,-4.35,-6.44,-2.77,2.09,-2.77,5.03
6gp8_macro_apc,-3.79,-5.88,-4.36,2.09,-4.36,5.13
6gp8_macro_apc,-4.23,-6.32,-1.91,2.09,-1.91,5.14
6gp8_macro_apc,-4.52,-6.61,-2.91,2.09,-2.91,5.19
6gp8_macro_apc,-3.77,-5.86,-3.09,2.09,-3.09,5.26
6gp8_macro_apc,-3.32,-5.4,-3.73,2.09,-3.73,5.3
6gp8_macro_apc,-3.62,-5.71,-3.76,2.09,-3.76,5.34
6gp8_macro_apc,-3.81,-5.9,-2.94,2.09,-2.94,5.36
6gp8_macro_apc,-4.48,-6.57,-3.08,2.09,-3.08,5.38
