Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
6gpo_macro_cmp,-4.03,-4.93,-1.49,0.89,-1.49,1.92
6gpo_macro_cmp,-4.17,-5.07,-1.38,0.89,-1.38,1.98
6gpo_macro_cmp,-4.03,-4.93,-1.52,0.89,-1.52,2.14
6gpo_macro_cmp,-4.1,-5.0,-1.39,0.89,-1.39,2.15
6gpo_macro_cmp,-4.19,-5.08,-1.58,0.89,-1.58,2.17
6gpo_macro_cmp,-4.18,-5.07,-1.57,0.89,-1.57,2.21
6gpo_macro_cmp,-4.06,-4.95,-1.58,0.89,-1.58,2.21
6gpo_macro_cmp,-4.45,-5.35,-1.6,0.89,-1.6,2.22
6gpo_macro_cmp,-4.39,-5.29,-1.39,0.89,-1.39,2.24
6gpo_macro_cmp,-4.46,-5.35,-1.58,0.89,-1.58,2.25
6gpo_macro_cmp,-4.4,-5.3,-1.56,0.89,-1.56,2.26
6gpo_macro_cmp,-4.39,-5.29,-1.58,0.89,-1.58,2.27
6gpo_macro_cmp,-4.11,-5.0,-1.56,0.89,-1.56,2.27
6gpo_macro_cmp,-4.49,-5.39,-1.59,0.89,-1.59,2.29
6gpo_macro_cmp,-4.46,-5.35,-1.39,0.89,-1.39,2.29
6gpo_macro_cmp,-4.39,-5.29,-1.16,0.89,-1.16,2.29
6gpo_macro_cmp,-4.52,-5.42,-1.3,0.89,-1.3,2.29
6gpo_macro_cmp,-4.56,-5.46,-1.56,0.89,-1.56,2.3
6gpo_macro_cmp,-4.38,-5.28,-1.51,0.89,-1.51,2.31
6gpo_macro_cmp,-4.45,-5.35,-1.45,0.89,-1.45,2.31
6gpo_macro_cmp,-4.52,-5.41,-1.57,0.89,-1.57,2.32
6gpo_macro_cmp,-4.46,-5.36,-1.56,0.89,-1.56,2.32
6gpo_macro_cmp,-4.52,-5.42,-1.36,0.89,-1.36,2.32
6gpo_macro_cmp,-4.42,-5.32,-1.48,0.89,-1.48,2.32
6gpo_macro_cmp,-4.36,-5.26,-1.49,0.89,-1.49,2.33
6gpo_macro_cmp,-4.5,-5.4,-1.45,0.89,-1.45,2.33
6gpo_macro_cmp,-4.54,-5.44,-1.37,0.89,-1.37,2.33
6gpo_macro_cmp,-4.52,-5.42,-1.34,0.89,-1.34,2.33
6gpo_macro_cmp,-4.55,-5.45,-1.21,0.89,-1.21,2.33
6gpo_macro_cmp,-4.57,-5.46,-1.28,0.89,-1.28,2.33
6gpo_macro_cmp,-4.34,-5.23,-1.54,0.89,-1.54,2.33
6gpo_macro_cmp,-4.47,-5.37,-1.48,0.89,-1.48,2.34
6gpo_macro_cmp,-4.11,-5.01,-0.83,0.89,-0.83,2.34
6gpo_macro_cmp,-4.51,-5.41,-1.43,0.89,-1.43,2.34
6gpo_macro_cmp,-4.47,-5.36,-1.56,0.89,-1.56,2.34
6gpo_macro_cmp,-4.38,-5.28,-1.51,0.89,-1.51,2.35
6gpo_macro_cmp,-4.6,-5.5,-1.53,0.89,-1.53,2.35
6gpo_macro_cmp,-4.42,-5.31,-1.58,0.89,-1.58,2.35
6gpo_macro_cmp,-4.49,-5.38,-1.43,0.89,-1.43,2.35
6gpo_macro_cmp,-4.17,-5.07,-1.59,0.89,-1.59,2.35
6gpo_macro_cmp,-4.23,-5.12,-1.58,0.89,-1.58,2.36
6gpo_macro_cmp,-4.39,-5.29,-1.51,0.89,-1.51,2.36
6gpo_macro_cmp,-4.57,-5.46,-1.36,0.89,-1.36,2.36
6gpo_macro_cmp,-4.58,-5.48,-1.37,0.89,-1.37,2.36
6gpo_macro_cmp,-4.46,-5.35,-1.46,0.89,-1.46,2.36
6gpo_macro_cmp,-4.46,-5.35,-1.44,0.89,-1.44,2.36
6gpo_macro_cmp,-4.58,-5.48,-1.56,0.89,-1.56,2.37
6gpo_macro_cmp,-4.44,-5.33,-1.5,0.89,-1.5,2.37
6gpo_macro_cmp,-4.61,-5.51,-1.33,0.89,-1.33,2.37
6gpo_macro_cmp,-4.49,-5.39,-1.45,0.89,-1.45,2.38
6gpo_macro_cmp,-4.28,-5.18,-0.99,0.89,-0.99,2.38
6gpo_macro_cmp,-4.6,-5.5,-1.35,0.89,-1.35,2.38
6gpo_macro_cmp,-4.27,-5.17,-1.44,0.89,-1.44,2.39
6gpo_macro_cmp,-4.37,-5.26,-1.51,0.89,-1.51,2.39
6gpo_macro_cmp,-4.65,-5.55,-1.54,0.89,-1.54,2.39
6gpo_macro_cmp,-4.54,-5.43,-1.3,0.89,-1.3,2.4
6gpo_macro_cmp,-4.35,-5.25,-1.52,0.89,-1.52,2.4
6gpo_macro_cmp,-4.37,-5.26,-1.43,0.89,-1.43,2.4
6gpo_macro_cmp,-4.47,-5.36,-1.44,0.89,-1.44,2.4
6gpo_macro_cmp,-4.48,-5.37,-1.53,0.89,-1.53,2.41
6gpo_macro_cmp,-4.45,-5.35,-1.37,0.89,-1.37,2.41
6gpo_macro_cmp,-4.48,-5.38,-1.38,0.89,-1.38,2.41
6gpo_macro_cmp,-4.52,-5.41,-1.37,0.89,-1.37,2.42
6gpo_macro_cmp,-4.51,-5.41,-1.52,0.89,-1.52,2.42
6gpo_macro_cmp,-4.44,-5.33,-1.55,0.89,-1.55,2.42
6gpo_macro_cmp,-4.4,-5.29,-1.54,0.89,-1.54,2.42
6gpo_macro_cmp,-4.65,-5.54,-1.54,0.89,-1.54,2.42
6gpo_macro_cmp,-4.69,-5.58,-1.48,0.89,-1.48,2.42
6gpo_macro_cmp,-4.53,-5.42,-1.53,0.89,-1.53,2.43
6gpo_macro_cmp,-4.51,-5.4,-1.48,0.89,-1.48,2.43
6gpo_macro_cmp,-4.33,-5.23,-1.53,0.89,-1.53,2.44
6gpo_macro_cmp,-4.33,-5.22,-1.51,0.89,-1.51,2.44
6gpo_macro_cmp,-3.33,-4.23,-1.54,0.89,-1.54,2.44
6gpo_macro_cmp,-4.63,-5.52,-1.54,0.89,-1.54,2.44
6gpo_macro_cmp,-4.57,-5.46,-1.53,0.89,-1.53,2.44
6gpo_macro_cmp,-4.32,-5.21,-1.32,0.89,-1.32,2.45
6gpo_macro_cmp,-4.63,-5.53,-1.53,0.89,-1.53,2.46
6gpo_macro_cmp,-4.61,-5.5,-1.53,0.89,-1.53,2.46
6gpo_macro_cmp,-5.11,-6.0,-0.91,0.89,-0.91,2.47
6gpo_macro_cmp,-4.58,-5.48,-1.53,0.89,-1.53,2.47
6gpo_macro_cmp,-4.38,-5.27,-1.46,0.89,-1.46,2.47
6gpo_macro_cmp,-4.54,-5.43,-1.51,0.89,-1.51,2.47
6gpo_macro_cmp,-4.48,-5.37,-1.56,0.89,-1.56,2.47
6gpo_macro_cmp,-4.38,-5.28,-1.53,0.89,-1.53,2.48
6gpo_macro_cmp,-4.45,-5.34,-1.53,0.89,-1.53,2.48
6gpo_macro_cmp,-4.6,-5.5,-1.36,0.89,-1.36,2.48
6gpo_macro_cmp,-4.59,-5.49,-1.37,0.89,-1.37,2.48
6gpo_macro_cmp,-4.53,-5.42,-1.55,0.89,-1.55,2.49
6gpo_macro_cmp,-4.46,-5.36,-1.5,0.89,-1.5,2.49
6gpo_macro_cmp,-4.46,-5.35,-1.52,0.89,-1.52,2.5
6gpo_macro_cmp,-4.64,-5.53,-1.57,0.89,-1.57,2.5
6gpo_macro_cmp,-4.46,-5.35,-1.54,0.89,-1.54,2.51
