Ligand,Binding Energy,Intermol Energy,Internal Energy,Torsional Energy,Unbound Energy,RMSD
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.43,-6.11,-2.59,2.68,-2.59,2.3
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.34,-6.03,-3.0,2.68,-3.0,2.56
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.29,-5.97,-2.09,2.68,-2.09,2.71
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.96,-6.64,-2.76,2.68,-2.76,2.79
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.93,-6.61,-2.66,2.68,-2.66,2.8
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-2.69,-5.38,-2.58,2.68,-2.58,2.87
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.09,-5.78,-2.88,2.68,-2.88,2.92
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.25,-6.94,-2.24,2.68,-2.24,2.96
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.92,-6.6,-2.06,2.68,-2.06,2.98
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.6,-6.29,-2.6,2.68,-2.6,2.98
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.51,-6.2,-2.9,2.68,-2.9,2.99
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.57,-6.25,-2.95,2.68,-2.95,3.0
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.46,-7.15,-2.01,2.68,-2.01,3.26
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.26,-6.95,-2.7,2.68,-2.7,3.26
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.43,-6.11,-2.53,2.68,-2.53,3.27
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.5,-6.19,-2.36,2.68,-2.36,3.29
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.22,-6.9,-2.06,2.68,-2.06,3.33
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-2.23,-4.92,-2.93,2.68,-2.93,3.36
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-2.62,-5.3,-2.79,2.68,-2.79,3.36
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.37,-6.05,-2.73,2.68,-2.73,3.39
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.26,-5.95,-2.59,2.68,-2.59,3.42
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.01,-6.69,-2.85,2.68,-2.85,3.43
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.29,-6.97,-2.1,2.68,-2.1,3.46
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.37,-7.05,-2.02,2.68,-2.02,3.49
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.73,-6.42,-2.69,2.68,-2.69,3.5
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.1,-6.79,-3.11,2.68,-3.11,3.57
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.23,-5.92,-2.68,2.68,-2.68,3.61
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.78,-6.46,-2.99,2.68,-2.99,3.62
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.91,-6.6,-2.46,2.68,-2.46,3.64
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.57,-6.25,-2.11,2.68,-2.11,3.66
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.47,-6.15,-2.03,2.68,-2.03,3.67
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-3.11,-5.8,-2.7,2.68,-2.7,3.69
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-2.92,-5.6,-2.93,2.68,-2.93,3.71
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.02,-6.71,-2.33,2.68,-2.33,3.74
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.45,-7.13,-2.24,2.68,-2.24,3.8
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.44,-7.13,-2.6,2.68,-2.6,3.8
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.3,-6.99,-2.64,2.68,-2.64,3.81
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.56,-7.24,-2.21,2.68,-2.21,3.82
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.19,-6.87,-1.76,2.68,-1.76,3.84
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.49,-7.17,-2.23,2.68,-2.23,3.85
macro_6edi_com_ligante_4uz_ligante_6edi_com_ligante_4uz,-4.53,-7.21,-2.4,2.68,-2.4,3.86
